,id,X_IMAGE,Y_IMAGE,ra,dec,z_use,f_F814W,f_F606W,f_F435W,e_F814W,e_F606W,e_F435W,mag_F814W,band,xl,yl,mag_AB_F814w
8887,8888,7128.420123727081,8655.3660809201,3.5649998,-30.3666789,0.3051,416.975,176.592,28.5937,1.29196,0.09569810000000001,0.0918397,18.449724956615494,f814w,213.8526037118124,259.66098242760296,18.449724956615494
9382,20072,7108.195740952415,9202.915782750753,3.565196,-30.362115999999997,0.3067,267.70599999999996,120.514,24.5772,1.1276700000000002,0.945823,0.5212289999999999,18.93085473753799,bcg,213.24587222857244,276.08747348252257,18.93085473753799
9369,20059,7071.3723493443285,6204.249582867374,3.565547,-30.387105,0.2991,110.927,55.1203,11.8614,0.344713,0.188243,0.203666,19.88740683066344,bcg,212.14117048032986,186.1274874860212,19.88740683066344
8813,8814,7083.548030843339,8787.012649283031,3.5654334000000003,-30.365581899999995,0.2989,338.958,144.531,23.7354,0.754175,0.0694764,0.0636846,18.674635278815803,f814w,212.50644092530015,263.6103794784909,18.674635278815803
7380,7381,7092.394270658278,6703.684987937962,3.5653447,-30.382943,0.303,84.8061,37.0928,6.59183,0.22655999999999998,0.0276184,0.0207346,20.178932270859967,f814w,212.77182811974833,201.11054963813888,20.178932270859967
8354,8355,6870.217172991998,7829.505773908957,3.5674925,-30.3735614,0.2654,110.656,57.7119,13.214,0.818851,0.0752643,0.0880562,19.890062581855474,f814w,206.10651518975993,234.88517321726872,19.890062581855474
9087,9088,6789.7012815649105,9643.839473866832,3.5682726000000002,-30.358441999999997,0.3094,113.40799999999999,52.3541,10.7139,0.889842,0.07157260000000001,0.08771389999999998,19.863390771162702,f814w,203.69103844694732,289.315184216005,19.863390771162702
7181,7182,6676.941989967404,6544.813681240883,3.5693578,-30.3842674,0.2961,53.7366,40.1151,20.0911,0.168186,0.046150800000000006,0.0439955,20.674324538837464,f814w,200.3082596990221,196.3444104372265,20.674324538837464
8872,8873,6610.602342853021,9153.146150861196,3.5700017,-30.362531300000004,0.2993,96.5338,43.1542,7.9839899999999995,0.29569,0.038816500000000004,0.041902499999999995,20.03830149427432,f814w,198.3180702855906,274.59438452583584,20.03830149427432
9352,20042,6592.7300947935755,6282.072028933729,3.5701709999999998,-30.386457,0.2965,182.18599999999998,84.3379,17.3931,1.8583,1.09336,0.468625,19.348712498105037,bcg,197.78190284380725,188.46216086801186,19.348712498105037
8693,8694,6566.787916179916,8391.741003608611,3.5704239999999996,-30.368876399999998,0.3076,309.795,130.503,21.1951,0.6638930000000001,0.06841860000000001,0.0643005,18.77231398976299,f814w,197.00363748539746,251.75223010825832,18.77231398976299
722,723,6468.781804000053,1916.8928808752362,3.5713638,-30.422833699999998,0.303,97.5793,46.8367,9.84216,0.160376,0.033077499999999996,0.0245087,20.026605754225802,f814w,194.06345412000158,57.50678642625709,20.026605754225802
9337,20027,6454.899762821888,5803.887800393058,3.5715019999999997,-30.390441999999997,0.2966,106.973,51.174,11.3589,0.775229,0.398574,0.24983200000000003,19.926814561177224,bcg,193.6469928846566,174.11663401179172,19.926814561177224
9360,20050,6253.80995808255,7303.661705286857,3.573446,-30.377944,0.3113,54.8727,25.6522,6.17596,0.6546810000000001,0.436579,0.200942,20.651609174767138,bcg,187.6142987424765,219.1098511586057,20.651609174767138
9377,20067,6247.63091014603,1912.6769380684373,3.5735010000000003,-30.422869,0.3188,189.43200000000002,84.6899,16.5726,1.23292,0.811451,0.502579,19.306366638707573,bcg,187.4289273043809,57.38030814205312,19.306366638707573
9335,20025,6201.72873010706,3596.7562127272313,3.573946,-30.408834999999996,0.314,150.127,67.9292,13.8261,2.21523,1.15814,0.46127799999999997,19.558852984639902,bcg,186.0518619032118,107.90268638181693,19.558852984639902
7511,7512,6156.171673868295,6618.843192291762,3.5743886,-30.383650899999996,0.2616,213.495,94.0109,17.4659,0.07231760000000001,0.068517,0.05207719999999999,19.176530728972534,f160w,184.68515021604884,198.56529576875283,19.176530728972534
9334,20024,6102.88808582895,4850.159973653419,3.574902,-30.398390000000003,0.3174,189.13299999999998,81.5973,15.0268,2.06756,1.01519,0.515243,19.308081721679997,bcg,183.0866425748685,145.50479920960257,19.308081721679997
9376,20066,6087.7092268096485,1255.8104107739255,3.575046,-30.428342999999998,0.317,365.545,165.08900000000003,31.8759,5.26622,2.17504,0.339927,18.59264788022145,bcg,182.63127680428946,37.67431232321776,18.59264788022145
9359,20049,6084.3486027588215,7408.074012207508,3.5750830000000002,-30.377074,0.3142,181.287,81.4845,15.656,2.3083099999999996,0.961404,0.268885,19.354083344569414,bcg,182.53045808276462,222.2422203662252,19.354083344569414
8863,8864,6038.126295516034,9011.536635241555,3.5755306000000004,-30.3637118,0.2943,183.88299999999998,85.9199,17.324,0.560372,0.0767562,0.0826919,19.338646048675628,f814w,181.143788865481,270.34609905724665,19.338646048675628
9214,9215,6021.744010991457,10736.173296411276,3.5756900000000003,-30.3493398,0.3045,0.890798,0.694526,0.493975,0.0413728,0.023653200000000003,0.0316296,25.125551916763214,f814w,180.6523203297437,322.08519889233827,25.125551916763214
9050,9051,5976.071663674651,9579.558901333568,3.5761303,-30.3589783,0.3023,146.108,63.5375,12.2782,0.504991,0.05194259999999999,0.059026300000000004,19.58831501011744,f814w,179.28214991023953,287.38676704000704,19.58831501011744
9384,20074,5867.011211645144,10349.878760779786,3.5771839999999995,-30.352559000000003,0.3013,269.71,119.698,22.994,1.38296,0.6571170000000001,0.720312,18.922757377431857,bcg,176.0103363493543,310.49636282339355,18.922757377431857
9383,20073,5736.512467640472,9827.285678573124,3.578444,-30.356914,0.3011,1160.88,506.129,102.76,6.49488,2.19397,3.0095400000000003,17.338031677249845,bcg,172.09537402921416,294.8185703571937,17.338031677249845
9031,9032,5637.380675594449,9652.053419808526,3.5794013,-30.3583743,0.305,59.7358,26.3004,4.7297199999999995,0.298297,0.041781,0.051511,20.559413289320776,f814w,169.12142026783346,289.56160259425576,20.559413289320776
9325,20015,5609.548348073958,3552.987101635211,3.579668,-30.4092,0.3028,332.586,153.10399999999998,30.1842,1.8868599999999998,1.0502200000000002,0.560239,18.69524009021694,bcg,168.28645044221872,106.58961304905633,18.69524009021694
