,F_r,F_t,ThL,N,a,lens_id,z_use,name,f435w-f606w,f435w-f814w,f814w-f606w,rchi2,SNR,lens_Mag_F814W,lens_z
2204,-0.1867689119190015,0.1586614892382414,29.545856038643127,13.0,0.1994171013494759,54.0,0.4257,abell2744_1800,2.1069999999999998,2.2695000000000007,-0.16250000000000142,0.392087133252193,51.6973423370958,-20.0385120724638,0.2966
2205,0.25341306093214766,0.23094016268568113,12.998224870071871,1.0,0.221747587873755,5.0,4.6316,abell2744_1804,72.5659,73.467,-0.9010999999999996,0.5012493149102777,48.45430492286665,-20.95354097604401,0.2991
2206,0.15860405504744426,0.30396758365785737,14.110757688023337,2.0,0.221747587873755,74.0,4.6316,abell2744_1804,72.5659,73.467,-0.9010999999999996,0.5012493149102777,48.45430492286665,-21.424411933748278,0.2817
2207,0.20974316567478954,0.27121825647438824,27.17684312372656,3.0,0.221747587873755,6.0,4.6316,abell2744_1804,72.5659,73.467,-0.9010999999999996,0.5012493149102777,48.45430492286665,-21.473276731947234,0.2965
2209,0.3286357943073824,0.09481928802288843,3.416378508921067,1.0,0.3416349280636625,28.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-21.31583394816072,0.3167
2210,-0.1284304380518928,-0.3170138881232343,4.91743423324063,2.0,0.3416349280636625,54.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.0385120724638,0.2966
2211,-0.09280584469120935,-0.32921005129303493,6.523096794330555,3.0,0.3416349280636625,53.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-21.459118680070365,0.314
2212,-0.2309945250476368,-0.2522572339482622,10.200812128923076,4.0,0.3416349280636625,31.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.734462043439915,0.2967
2213,0.2965827372105787,0.17038445548198453,12.48333685098545,5.0,0.3416349280636625,25.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.696978603438662,0.2979
2214,-0.34137977563132366,-0.021261031751039126,12.92239617796564,6.0,0.3416349280636625,72.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-19.310042157216525,0.3015
2215,-0.028036392519309762,0.3408902218834016,13.091813212117012,7.0,0.3416349280636625,61.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.48343107010457,0.317
2216,0.3069109522778681,-0.15098956935200442,14.368664829925855,8.0,0.3416349280636625,19.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-21.180916974358897,0.3013
2217,-0.31912413853189087,0.12309332592586039,15.3964276992104,9.0,0.3416349280636625,36.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.925960744332112,0.3034
2218,-0.34130214609581067,-0.022472822510879283,15.78945896244828,10.0,0.3416349280636625,50.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-19.638349973798523,0.2972
2219,-0.3416477809597662,0.016400501409382488,15.908662102476967,11.0,0.3416349280636625,35.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.388054282666143,0.3164
2220,-0.3020084447742092,0.16057111186721912,17.581068848124023,12.0,0.3416349280636625,52.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.223869688320107,0.3043
2221,0.17568761739267041,0.29347239014274956,19.60771700593804,13.0,0.3416349280636625,32.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.108282951631363,0.3016
2222,-0.29473096910688795,0.1735679651621411,19.852024020652646,14.0,0.3416349280636625,73.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-19.034867174230122,0.2968
2223,-0.340563677433705,-0.031757901285237866,19.85653818827944,15.0,0.3416349280636625,37.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-22.8712133867411,0.3121
2224,0.26367640136948556,0.21786908464040858,20.862993981229216,16.0,0.3416349280636625,63.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-19.974448304864403,0.3123
2225,0.34192231359266945,-0.009017435813344825,22.830013129631627,17.0,0.3416349280636625,62.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.59119258225985,0.3092
2226,0.04319105348080632,-0.3393032796487969,22.86614639399962,18.0,0.3416349280636625,49.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-21.06234727123744,0.2963
2227,-0.12976905062177546,-0.31646828621827916,25.570417810786633,19.0,0.3416349280636625,24.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-21.775449719395517,0.3122
2228,-0.013212227364164511,-0.34178592675721625,26.12749428592049,20.0,0.3416349280636625,48.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-22.539533807484094,0.3202
2229,-0.27905546204879067,0.19778835097635936,27.589331451652175,21.0,0.3416349280636625,71.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-20.302343095132155,0.3043
2230,-0.016201003568941715,-0.34165729929941596,27.657522965096312,22.0,0.3416349280636625,20.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-21.44113130251917,0.3026
2231,-0.15545226128742043,-0.30467487120180936,28.863234467651647,23.0,0.3416349280636625,27.0,0.4582,abell2744_1821,1.9949000000000008,2.1489000000000007,-0.15399999999999991,0.4225592577058626,26.898465824244248,-21.37259247386929,0.3022
2232,-0.0454309870125636,-0.22506451425594834,20.677005982155006,1.0,0.27093229143209,7.0,0.3668,abell2744_1830,2.6644000000000005,2.7822999999999998,-0.11789999999999877,0.5137058707152679,43.625459636598606,-20.895906913835457,0.2966
2233,0.08198967027989174,0.21446609085260152,22.697783072900606,2.0,0.27093229143209,62.0,0.3668,abell2744_1830,2.6644000000000005,2.7822999999999998,-0.11789999999999877,0.5137058707152679,43.625459636598606,-20.59119258225985,0.3092
2234,0.10403544961919761,-0.2046817905450631,23.847219472415528,3.0,0.27093229143209,6.0,0.3668,abell2744_1830,2.6644000000000005,2.7822999999999998,-0.11789999999999877,0.5137058707152679,43.625459636598606,-21.473276731947234,0.2965
2235,-0.2194028483978715,0.06767865448649446,23.97061996004723,4.0,0.27093229143209,75.0,0.3668,abell2744_1830,2.6644000000000005,2.7822999999999998,-0.11789999999999877,0.5137058707152679,43.625459636598606,-20.40343113638009,0.3003
2236,-0.029261063226101267,0.22773186061041129,24.017675181599277,5.0,0.27093229143209,19.0,0.3668,abell2744_1830,2.6644000000000005,2.7822999999999998,-0.11789999999999877,0.5137058707152679,43.625459636598606,-21.180916974358897,0.3013
2237,-0.1731025158535437,0.15084272989897574,28.576154101369944,6.0,0.27093229143209,49.0,0.3668,abell2744_1830,2.6644000000000005,2.7822999999999998,-0.11789999999999877,0.5137058707152679,43.625459636598606,-21.06234727123744,0.2963
2238,-0.08216163246483772,-0.05506809752086346,9.286542680719517,1.0,0.3946353495356691,6.0,0.3218,abell2744_1839ep2,2.6091999999999977,2.8680999999999983,-0.2589000000000006,1.0494907493510512,92.67078887172704,-21.473276731947234,0.2965
2239,-0.060987438477648544,0.0778688741525742,12.395986365090836,2.0,0.3946353495356691,7.0,0.3218,abell2744_1839ep2,2.6091999999999977,2.8680999999999983,-0.2589000000000006,1.0494907493510512,92.67078887172704,-20.895906913835457,0.2966
2240,-0.09838970179744135,-0.01012402064720195,21.001235003621918,3.0,0.3946353495356691,74.0,0.3218,abell2744_1839ep2,2.6091999999999977,2.8680999999999983,-0.2589000000000006,1.0494907493510512,92.67078887172704,-21.424411933748278,0.2817
2241,-0.09451727028148889,-0.029146437730713896,23.196338496910307,4.0,0.3946353495356691,5.0,0.3218,abell2744_1839ep2,2.6091999999999977,2.8680999999999983,-0.2589000000000006,1.0494907493510512,92.67078887172704,-20.95354097604401,0.2991
2247,0.27588217123431025,0.11756152871852867,14.15564752604514,1.0,0.311729894224502,62.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-20.59119258225985,0.3092
2248,0.11949594309589778,0.2750498228016457,16.346758651373698,2.0,0.311729894224502,19.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-21.180916974358897,0.3013
2249,-0.23204123586108277,0.1899698668201251,25.127291517046498,3.0,0.311729894224502,75.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-20.40343113638009,0.3003
2250,-0.12223545765742744,0.27384334633303403,25.925071980222565,4.0,0.311729894224502,49.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-21.06234727123744,0.2963
2251,0.21672196369840938,0.20727584492723714,26.113705181297195,5.0,0.311729894224502,25.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-20.696978603438662,0.2979
2252,0.13786957148586518,0.2663149764806678,28.32058384570606,6.0,0.311729894224502,28.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-21.31583394816072,0.3167
2253,0.19550760142849258,-0.22739494986316744,28.856893533776333,7.0,0.311729894224502,67.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-21.049288971883172,0.4989
2254,-0.24443986549456906,-0.1737263296008746,29.290588926369807,8.0,0.311729894224502,7.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-20.895906913835457,0.2966
2255,0.2674157911658718,0.13572206922503643,29.53437956018513,9.0,0.311729894224502,63.0,1.0488,abell2744_1864,0.8536999999999999,0.8107000000000006,0.04299999999999926,1.2087193800290288,59.21874596377582,-19.974448304864403,0.3123
2260,0.3230061226804639,-0.17636321070126984,5.076704210719885,1.0,0.4166062058847874,5.0,2.9609,abell2744_1872,1.4578999999999986,1.1521000000000008,0.30579999999999785,2.0305517753208027,103.51011723898856,-20.95354097604401,0.2991
2261,0.3571401713810224,-0.08881348638501564,9.594257490424784,2.0,0.4166062058847874,74.0,2.9609,abell2744_1872,1.4578999999999986,1.1521000000000008,0.30579999999999785,2.0305517753208027,103.51011723898856,-21.424411933748278,0.2817
2262,0.19931869052617027,-0.3093687071842597,18.8022008177998,3.0,0.4166062058847874,6.0,2.9609,abell2744_1872,1.4578999999999986,1.1521000000000008,0.30579999999999785,2.0305517753208027,103.51011723898856,-21.473276731947234,0.2965
2263,0.33261539607723356,-0.15749265275025515,27.118468391397037,4.0,0.4166062058847874,7.0,2.9609,abell2744_1872,1.4578999999999986,1.1521000000000008,0.30579999999999785,2.0305517753208027,103.51011723898856,-20.895906913835457,0.2966
2264,-0.17208647855519188,-0.27476984097217033,16.57825141463004,1.0,0.24898151094524412,7.0,0.5804,abell2744_1877,1.9652999999999992,2.1342,-0.16890000000000072,0.4529949922782164,28.480510176732754,-20.895906913835457,0.2966
2265,0.1172776833057443,-0.3022551349569364,16.72537501216856,2.0,0.24898151094524412,6.0,0.5804,abell2744_1877,1.9652999999999992,2.1342,-0.16890000000000072,0.4529949922782164,28.480510176732754,-21.473276731947234,0.2965
2266,0.05833386346739508,0.3189190837538036,27.385155979358274,3.0,0.24898151094524412,62.0,0.5804,abell2744_1877,1.9652999999999992,2.1342,-0.16890000000000072,0.4529949922782164,28.480510176732754,-20.59119258225985,0.3092
2267,0.019875422832416938,-0.323600354104613,28.461004854586086,4.0,0.24898151094524412,74.0,0.5804,abell2744_1877,1.9652999999999992,2.1342,-0.16890000000000072,0.4529949922782164,28.480510176732754,-21.424411933748278,0.2817
2268,0.3052111775512551,0.10935428069890309,28.704294118542148,5.0,0.24898151094524412,67.0,0.5804,abell2744_1877,1.9652999999999992,2.1342,-0.16890000000000072,0.4529949922782164,28.480510176732754,-21.049288971883172,0.4989
2269,-0.36217710161205835,-0.15359118153197288,16.72136034835834,1.0,0.33938774708070985,5.0,0.3812,abell2744_1883,4.1690000000000005,4.338100000000002,-0.16910000000000025,0.35462443287062895,21.260360611987476,-20.95354097604401,0.2991
2270,-0.32004055872086423,-0.22877181808547942,19.533456298289295,2.0,0.33938774708070985,74.0,0.3812,abell2744_1883,4.1690000000000005,4.338100000000002,-0.16910000000000025,0.35462443287062895,21.260360611987476,-21.424411933748278,0.2817
2271,0.13018420923774116,0.3712338557319937,26.22983929434036,3.0,0.33938774708070985,2.0,0.3812,abell2744_1883,4.1690000000000005,4.338100000000002,-0.16910000000000025,0.35462443287062895,21.260360611987476,-22.563972762688234,0.3098
2272,-0.06084107720672521,0.056424664565316064,5.607068310711025,1.0,0.3169012783331019,5.0,0.3617,abell2744_1886,2.3788000000000022,2.4895,-0.1106999999999978,0.46084000288591986,62.78958278851695,-20.95354097604401,0.2991
2273,0.005443014724219209,0.08279947486364309,5.6889588564927696,2.0,0.3169012783331019,74.0,0.3617,abell2744_1886,2.3788000000000022,2.4895,-0.1106999999999978,0.46084000288591986,62.78958278851695,-21.424411933748278,0.2817
2274,0.05619030614356372,-0.06105758710001334,8.951551271422987,3.0,0.3169012783331019,6.0,0.3617,abell2744_1886,2.3788000000000022,2.4895,-0.1106999999999978,0.46084000288591986,62.78958278851695,-21.473276731947234,0.2965
2275,0.08217640995397141,0.01150726266581058,18.07686665906162,4.0,0.3169012783331019,7.0,0.3617,abell2744_1886,2.3788000000000022,2.4895,-0.1106999999999978,0.46084000288591986,62.78958278851695,-20.895906913835457,0.2966
2276,-0.04197624521327197,-0.07529022453393816,29.601194776231434,1.0,0.32227380899519525,66.0,0.7333,abell2744_1889,1.9868999999999983,2.577099999999998,-0.5901999999999994,0.28610546774711487,46.8403134282179,-21.66243014130468,0.2589
2277,-0.038971164527562545,0.5317399093377122,11.0674269897721,1.0,0.1997758468183352,6.0,0.5775,abell2744_1890,0.9540000000000006,1.6611000000000011,-0.7071000000000005,0.5173179804878919,21.41040973385334,-21.473276731947234,0.2965
2278,0.48864206696765455,0.2132956006032262,14.346925694529721,2.0,0.1997758468183352,7.0,0.5775,abell2744_1890,0.9540000000000006,1.6611000000000011,-0.7071000000000005,0.5173179804878919,21.41040973385334,-20.895906913835457,0.2966
2279,0.15198272763884868,0.5110453339446202,23.286518640285227,3.0,0.1997758468183352,74.0,0.5775,abell2744_1890,0.9540000000000006,1.6611000000000011,-0.7071000000000005,0.5173179804878919,21.41040973385334,-21.424411933748278,0.2817
2280,0.05681801292976264,0.5301299805272534,25.301128356181124,4.0,0.1997758468183352,5.0,0.5775,abell2744_1890,0.9540000000000006,1.6611000000000011,-0.7071000000000005,0.5173179804878919,21.41040973385334,-20.95354097604401,0.2991
2281,-0.5119558843808425,-0.14888671967285133,28.701860110925182,5.0,0.1997758468183352,67.0,0.5775,abell2744_1890,0.9540000000000006,1.6611000000000011,-0.7071000000000005,0.5173179804878919,21.41040973385334,-21.049288971883172,0.4989
2282,0.4089700717982684,-0.003231312894588455,6.834137541911051,1.0,0.34367784245906546,52.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-20.223869688320107,0.3043
2283,0.38636185675552615,-0.13413231025418848,7.484500004986628,2.0,0.34367784245906546,73.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-19.034867174230122,0.2968
2284,0.38241655986130846,0.1449983991413211,7.977978587054354,3.0,0.34367784245906546,36.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-20.925960744332112,0.3034
2285,-0.35531213754931235,0.2025345548785247,8.890701396431412,4.0,0.34367784245906546,61.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-20.48343107010457,0.317
2286,0.3644455478718009,0.1855974235977604,12.871514086598797,5.0,0.34367784245906546,35.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-20.388054282666143,0.3164
2287,0.251104521481165,-0.3228211274086916,13.146411898775602,6.0,0.34367784245906546,71.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-20.302343095132155,0.3043
2288,0.30539258793156004,0.27203368954261525,13.30651944315839,7.0,0.34367784245906546,72.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-19.310042157216525,0.3015
2289,0.35137382807588874,0.20929260367485367,14.435314269423708,8.0,0.34367784245906546,50.0,0.9443,abell2744_1899,1.3100000000000025,1.1384000000000007,0.17160000000000153,0.37179185329455905,20.849487173930548,-19.638349973798523,0.2972
