,F_r,F_t,ThL,N,a,lens_id,z_use,name,f435w-f606w,f435w-f814w,f814w-f606w,rchi2,SNR,lens_Mag_F814W,lens_z
282,0.07550134126557188,0.15249040473452632,25.515901047731223,3.0,0.37789422167250136,1.0,1.7552,abell2744_1680,0.9821999999999989,0.5309999999999988,0.4512000000000001,0.7268372641909641,96.10071653774452,-21.598030841456296,0.4639
283,0.025122571238635167,0.1682932930433049,26.79908836421514,4.0,0.37789422167250136,0.0,1.7552,abell2744_1680,0.9821999999999989,0.5309999999999988,0.4512000000000001,0.7268372641909641,96.10071653774452,-22.491027171526177,0.4879
284,0.1698153665782914,-0.010794319935988957,28.086773184720833,5.0,0.37789422167250136,3.0,1.7552,abell2744_1680,0.9821999999999989,0.5309999999999988,0.4512000000000001,0.7268372641909641,96.10071653774452,-21.468686057211862,0.3123
285,-0.10317005495179099,0.6948596646612778,6.21214840077837,1.0,0.23240292364236384,16.0,1.6209,abell2744_1682,1.2607,1.1401000000000003,0.1205999999999996,0.38107899486216107,31.00330614509737,-19.769906622435965,0.3998
286,0.6998134961579263,-0.06111533692256775,17.042832611688407,2.0,0.23240292364236384,4.0,1.6209,abell2744_1682,1.2607,1.1401000000000003,0.1205999999999996,0.38107899486216107,31.00330614509737,-20.03444624259326,0.2695
287,0.14864487747761188,0.6865702543888751,21.651437719234487,3.0,0.23240292364236384,0.0,1.6209,abell2744_1682,1.2607,1.1401000000000003,0.1205999999999996,0.38107899486216107,31.00330614509737,-22.491027171526177,0.4879
288,0.39334640980169716,0.582024583422431,21.720422856447144,4.0,0.23240292364236384,1.0,1.6209,abell2744_1682,1.2607,1.1401000000000003,0.1205999999999996,0.38107899486216107,31.00330614509737,-21.598030841456296,0.4639
289,-0.15088421696106125,0.14180143971508077,28.86749542517431,1.0,0.37046803601665307,5.0,1.1198,abell2744_1689,1.2155999999999985,1.3079999999999998,-0.09240000000000136,1.2709154929409168,77.01544821513811,-21.26156267026929,0.3129
290,-0.24273113371366045,0.20884043880191686,3.225122487970414,1.0,0.2301607512435297,16.0,0.3275,abell2744_1700,1.7420000000000009,1.6780000000000008,0.06400000000000006,0.5219465382885984,105.87172717170324,-19.769906622435965,0.3998
291,0.20139289750423608,0.24894504009468507,15.759157118962527,2.0,0.2301607512435297,0.0,0.3275,abell2744_1700,1.7420000000000009,1.6780000000000008,0.06400000000000006,0.5219465382885984,105.87172717170324,-22.491027171526177,0.4879
292,0.29906334623771413,0.11442834915350845,15.885007015797903,3.0,0.2301607512435297,1.0,0.3275,abell2744_1700,1.7420000000000009,1.6780000000000008,0.06400000000000006,0.5219465382885984,105.87172717170324,-21.598030841456296,0.4639
293,0.17847697821711955,-0.26585466029276583,16.3207065362995,4.0,0.2301607512435297,4.0,0.3275,abell2744_1700,1.7420000000000009,1.6780000000000008,0.06400000000000006,0.5219465382885984,105.87172717170324,-20.03444624259326,0.2695
294,-0.17062130078862622,0.1777338118272571,4.954763360944578,1.0,0.32833884729037877,16.0,0.4109,abell2744_1715,1.7239000000000004,1.6528999999999991,0.0710000000000015,0.5676800851091754,50.48240186782747,-19.769906622435965,0.3998
295,0.2311417535473072,-0.0852902451428391,14.871252599118192,2.0,0.32833884729037877,4.0,0.4109,abell2744_1715,1.7239000000000004,1.6528999999999991,0.0710000000000015,0.5676800851091754,50.48240186782747,-20.03444624259326,0.2695
296,0.14256720196074665,0.2009366294992861,17.89160496997462,3.0,0.32833884729037877,1.0,0.4109,abell2744_1715,1.7239000000000004,1.6528999999999991,0.0710000000000015,0.5676800851091754,50.48240186782747,-21.598030841456296,0.4639
297,0.03980878853989878,0.24313822509929472,18.46366852316657,4.0,0.32833884729037877,0.0,0.4109,abell2744_1715,1.7239000000000004,1.6528999999999991,0.0710000000000015,0.5676800851091754,50.48240186782747,-22.491027171526177,0.4879
298,0.23103894099390487,-0.08556835801781305,28.89234124633924,5.0,0.32833884729037877,3.0,0.4109,abell2744_1715,1.7239000000000004,1.6528999999999991,0.0710000000000015,0.5676800851091754,50.48240186782747,-21.468686057211862,0.3123
302,0.2133215879878926,-0.0017782863665728012,5.0967349162706785,1.0,0.6296495895431501,0.0,0.7201,abell2744_1738,1.1631,1.4974999999999987,-0.3343999999999987,0.6716977413892481,51.140608032165396,-22.491027171526177,0.4879
303,-0.033326913669106825,-0.2107097032159878,5.732459612268255,2.0,0.6296495895431501,1.0,0.7201,abell2744_1738,1.1631,1.4974999999999987,-0.3343999999999987,0.6716977413892481,51.140608032165396,-21.598030841456296,0.4639
304,-0.10582773394579936,0.18522892034446148,12.806131258795949,3.0,0.6296495895431501,16.0,0.7201,abell2744_1738,1.1631,1.4974999999999987,-0.3343999999999987,0.6716977413892481,51.140608032165396,-19.769906622435965,0.3998
305,0.0670327944976417,-0.20252374346213012,20.38510006906838,4.0,0.6296495895431501,2.0,0.7201,abell2744_1738,1.1631,1.4974999999999987,-0.3343999999999987,0.6716977413892481,51.140608032165396,-20.973128479825363,0.4859
306,-0.2122554183277023,-0.021375209814405393,20.742632772599148,5.0,0.6296495895431501,4.0,0.7201,abell2744_1738,1.1631,1.4974999999999987,-0.3343999999999987,0.6716977413892481,51.140608032165396,-20.03444624259326,0.2695
307,-0.22796836233413637,-0.02059047736710787,20.996059609702066,1.0,0.24807000196370413,5.0,2.5094,abell2744_1755,0.9621999999999992,0.3975000000000009,0.5646999999999984,0.4967301971105251,35.86597318622988,-21.26156267026929,0.3129
308,0.04253340845366485,0.2716673026528106,8.514505465596567,1.0,0.2649861790639073,1.0,1.0579,abell2744_1791,1.3160999999999987,2.158300000000001,-0.8422000000000018,0.3034342777898579,22.5162217675198,-21.598030841456296,0.4639
309,-0.20665757496715959,0.18139697041029346,8.531464699360427,2.0,0.2649861790639073,0.0,1.0579,abell2744_1791,1.3160999999999987,2.158300000000001,-0.8422000000000018,0.3034342777898579,22.5162217675198,-22.491027171526177,0.4879
310,-0.009746916255316861,-0.27480395155246934,9.163601485699305,3.0,0.2649861790639073,16.0,1.0579,abell2744_1791,1.3160999999999987,2.158300000000001,-0.8422000000000018,0.3034342777898579,22.5162217675198,-19.769906622435965,0.3998
311,0.2719328497018878,-0.0408012183439482,18.223559302738465,4.0,0.2649861790639073,4.0,1.0579,abell2744_1791,1.3160999999999987,2.158300000000001,-0.8422000000000018,0.3034342777898579,22.5162217675198,-20.03444624259326,0.2695
312,0.00047207791443721166,0.27497634681510835,23.875128135479198,5.0,0.2649861790639073,2.0,1.0579,abell2744_1791,1.3160999999999987,2.158300000000001,-0.8422000000000018,0.3034342777898579,22.5162217675198,-20.973128479825363,0.4859
313,-0.20398658841956097,-0.03413552763475935,24.003481989332727,1.0,0.45835168072449234,22.0,0.3181,abell2744_1792,2.3283999999999985,2.5001,-0.1717000000000013,0.3490880571221256,44.211896571107644,-19.692721823631533,0.2303
314,-0.40135592104811324,-0.051350964184519406,19.835498295261157,1.0,0.2971513286320678,22.0,0.6037,abell2744_1817,1.3476,1.5488,-0.20120000000000005,0.28544521106554543,37.49475148675715,-19.692721823631533,0.2303
315,-0.3734006953591141,0.15586987389610973,21.048057912236448,2.0,0.2971513286320678,19.0,0.6037,abell2744_1817,1.3476,1.5488,-0.20120000000000005,0.28544521106554543,37.49475148675715,-21.646866793015615,0.314
316,-0.26440197843328994,0.30629249204579145,23.154413832246117,3.0,0.2971513286320678,21.0,0.6037,abell2744_1817,1.3476,1.5488,-0.20120000000000005,0.28544521106554543,37.49475148675715,-20.911152002352363,0.3167
317,-0.3856888699727487,0.12234211238246315,23.38446782264995,4.0,0.2971513286320678,20.0,0.6037,abell2744_1817,1.3476,1.5488,-0.20120000000000005,0.28544521106554543,37.49475148675715,-18.792464776481978,0.2824
320,-0.8461418550657849,-0.1374861001407134,24.33485856374146,1.0,0.20112653958873244,5.0,2.3927,abell2744_1829,0.8877999999999986,0.2567999999999984,0.6310000000000002,0.5449342320951367,54.2717416760409,-21.26156267026929,0.3129
321,0.5338675015548272,0.08401282929406648,8.28800732613762,1.0,0.2876047050643555,16.0,1.453,abell2744_1830,0.9031000000000021,1.3811999999999998,-0.4780999999999978,0.35746854786633303,22.522181677816878,-19.769906622435965,0.3998
322,-0.5404354033601741,-0.0014964950094399786,11.21666341000832,2.0,0.2876047050643555,4.0,1.453,abell2744_1830,0.9031000000000021,1.3811999999999998,-0.4780999999999978,0.35746854786633303,22.522181677816878,-20.03444624259326,0.2695
323,0.06744898584924622,-0.5362119907371483,15.324584470593893,3.0,0.2876047050643555,1.0,1.453,abell2744_1830,0.9031000000000021,1.3811999999999998,-0.4780999999999978,0.35746854786633303,22.522181677816878,-21.598030841456296,0.4639
324,0.3077483520046996,-0.4442562509867238,17.743959565361955,4.0,0.2876047050643555,0.0,1.453,abell2744_1830,0.9031000000000021,1.3811999999999998,-0.4780999999999978,0.35746854786633303,22.522181677816878,-22.491027171526177,0.4879
325,-0.5377599597182975,-0.05372979086282108,25.143263553548636,5.0,0.2876047050643555,3.0,1.453,abell2744_1830,0.9031000000000021,1.3811999999999998,-0.4780999999999978,0.35746854786633303,22.522181677816878,-21.468686057211862,0.3123
326,0.4035742545413498,-0.31517004782566593,17.242957679758245,1.0,0.28435732342105374,21.0,2.0384,abell2744_1867,0.9906000000000006,0.5264000000000024,0.4641999999999982,0.38267195477292154,21.068491098666577,-20.911152002352363,0.3167
327,0.49214192988137245,-0.14142368552571769,24.091453903456518,2.0,0.28435732342105374,19.0,2.0384,abell2744_1867,0.9906000000000006,0.5264000000000024,0.4641999999999982,0.38267195477292154,21.068491098666577,-21.646866793015615,0.314
328,0.4901370044281177,-0.1482229903397919,27.11914796707957,3.0,0.28435732342105374,20.0,2.0384,abell2744_1867,0.9906000000000006,0.5264000000000024,0.4641999999999982,0.38267195477292154,21.068491098666577,-18.792464776481978,0.2824
329,0.06952619228843057,-0.2822385771173597,18.13954123108633,1.0,0.20912600523106498,21.0,0.604,abell2744_1871,1.7336999999999991,2.1099999999999994,-0.3763000000000005,0.31542700440733457,26.226571274403085,-20.911152002352363,0.3167
330,0.15096262014629086,-0.2484004692948995,26.11192802989784,2.0,0.20912600523106498,19.0,0.604,abell2744_1871,1.7336999999999991,2.1099999999999994,-0.3763000000000005,0.31542700440733457,26.226571274403085,-21.646866793015615,0.314
331,0.14466257280335612,-0.2521214902725932,29.08026136489626,3.0,0.20912600523106498,20.0,0.604,abell2744_1871,1.7336999999999991,2.1099999999999994,-0.3763000000000005,0.31542700440733457,26.226571274403085,-18.792464776481978,0.2824
332,-0.26658858267751123,-0.037289180452327264,23.861376383035434,1.0,0.3448571264110885,5.0,0.5378,abell2744_1882,1.7714,1.8024999999999984,-0.031099999999998577,0.35409601207848324,33.41204212774342,-21.26156267026929,0.3129
333,0.1307679254829859,0.23528643194558987,28.20529730136618,2.0,0.3448571264110885,2.0,0.5378,abell2744_1882,1.7714,1.8024999999999984,-0.031099999999998577,0.35409601207848324,33.41204212774342,-20.973128479825363,0.4859
334,0.3310145095037994,-0.005540816259512619,22.615027310155988,1.0,0.28080829169712535,2.0,0.3608,abell2744_1893,1.5899,1.1968000000000032,0.3930999999999969,0.34299287029588993,22.08531154199224,-20.973128479825363,0.4859
335,-0.19058036518782728,0.2707035842979125,29.587842958826386,2.0,0.28080829169712535,5.0,0.3608,abell2744_1893,1.5899,1.1968000000000032,0.3930999999999969,0.34299287029588993,22.08531154199224,-21.26156267026929,0.3129
336,0.24823044427324675,-0.21905011454635026,29.820794320777924,3.0,0.28080829169712535,0.0,0.3608,abell2744_1893,1.5899,1.1968000000000032,0.3930999999999969,0.34299287029588993,22.08531154199224,-22.491027171526177,0.4879
337,-0.2368702404181814,-0.7095309449433395,17.662769856793822,1.0,0.2119141790632861,2.0,0.926,abell2744_1896,1.0839999999999996,1.3521,-0.26810000000000045,0.8573067095810808,61.751259872437494,-20.973128479825363,0.4859
338,-0.7001161315978773,-0.2633990791638782,24.794245959656127,2.0,0.2119141790632861,0.0,0.926,abell2744_1896,1.0839999999999996,1.3521,-0.26810000000000045,0.8573067095810808,61.751259872437494,-22.491027171526177,0.4879
