,id,ra,dec,f_F435W,e_F435W,f_F606W,e_F606W,f_F814W,e_F814W,f_F160W,e_F160W,z_use,X_IMAGE,Y_IMAGE,band,mag_F814w
4796,4797,64.0334417,-24.0690713,1.4357799999999998,0.0211925,8.973230000000001,0.0206572,22.8833,0.019428900000000002,59.645,0.0599928,0.4075,5063.501150858838,5352.605497417895,f160w,21.601203364421476
4770,4771,64.0387831,-24.070718300000003,2.21402,0.020034599999999996,11.5275,0.0211577,26.0485,0.019287099999999998,57.2469,0.0728484,0.3968,4478.26484567702,5154.96954069758,f160w,21.46054320111067
6679,6680,64.045819,-24.0589681,1.67055,0.034631,9.60374,0.0359272,23.6978,0.033435900000000005,57.7843,0.143104,0.3976,3707.2878520404524,6564.964964904345,f160w,21.563229925292106
4320,4321,64.0222924,-24.0726058,1.53446,0.0275476,9.32434,0.026380200000000003,23.2242,0.024905700000000003,57.743,0.0924612,0.3975,6285.04669501628,4928.385346595936,f160w,21.585148092858887
4416,4417,64.0367948,-24.0722529,1.49489,0.0278765,8.85343,0.0268069,21.9936,0.0243303,54.3697,0.103282,0.394,4696.112813580109,4970.818634376856,f160w,21.644259194427583
5606,5607,64.0461184,-24.063953899999998,1.41172,0.0157672,7.46747,0.017009,18.3496,0.0159461,47.0974,0.0535789,0.3981,3674.519532498326,5966.666853800993,f160w,21.840933496061904
3704,3705,64.0267165,-24.0763878,1.45395,0.0248438,7.9541,0.0233151,19.2815,0.0217505,43.0397,0.0865193,0.396,5800.293226875701,4474.588748260064,f160w,21.787147958191007
4784,4785,64.0331082,-24.0679635,1.08123,0.018211599999999998,6.593719999999999,0.0175505,16.464,0.0165506,42.3485,0.0475594,0.4012,5100.045353107023,5485.540508596993,f160w,21.958661606454108
3264,3265,64.038206,-24.0789749,1.42329,0.035185,7.7656,0.032646100000000004,17.9372,0.0291649,39.4636,0.106545,0.3838,4541.5028011034865,4164.1781740431,f160w,21.865613373610977
2121,2122,64.022215,-24.085265300000003,1.1552200000000001,0.0195004,6.53006,0.0197017,15.7341,0.018469,37.2099,0.0711304,0.3999,6293.366099318706,3409.244402463185,f160w,22.00789523486584
5665,5666,64.0381561,-24.063123100000002,1.19071,0.0245466,6.71369,0.025194499999999998,15.9102,0.0232401,37.518,0.07652410000000001,0.397,4546.955220431255,6066.394236600836,f160w,21.9958109024941
3944,3945,64.0342027,-24.0738387,0.9687709999999999,0.0225629,5.537719999999999,0.020547299999999998,13.5243,0.0187427,32.1589,0.0610071,0.3918,4980.109283571904,4780.519430350563,f160w,22.172213010378744
5996,5997,64.0277923,-24.061005899999998,2.4148099999999997,0.029094400000000003,9.56033,0.027277099999999995,18.0691,0.0244604,32.2014,0.0795851,0.3918,5682.5503689967845,6320.425043987401,f160w,21.85765869645708
2451,2452,64.0441103,-24.0828831,1.09711,0.030858299999999998,5.793880000000001,0.0291562,13.7759,0.0258089,30.1475,0.08929169999999999,0.4007,3894.662519177443,3695.1753963172787,f160w,22.152200046115027
5818,5819,64.0347995,-24.062817499999998,1.31681,0.0253642,6.5962,0.02541,14.4977,0.0234817,29.8727,0.12383599999999999,0.3892,4914.743910183345,6103.064653250616,f160w,22.096752228298435
6096,6097,64.0508755,-24.0602554,3.54964,0.0399834,10.3344,0.0396969,17.9212,0.035725900000000005,31.3203,0.100375,0.3952,3153.236167692973,6410.444544964318,f160w,21.86658228356954
3103,3104,64.0343105,-24.0784701,0.630067,0.0159484,4.04814,0.0154974,10.3937,0.0141936,27.7022,0.0438725,0.4062,4968.287478259234,4224.75166691567,f160w,22.458074556628013
4029,4030,64.0325245,-24.073565,0.6637810000000001,0.0203227,4.19268,0.0186293,10.6123,0.017174900000000003,26.9303,0.06164209999999999,0.4039,5163.9780758378665,4813.358561169908,f160w,22.435476203522473
2875,2876,64.0338382,-24.080565300000004,0.9063049999999999,0.026857699999999998,4.88068,0.025633600000000003,11.6648,0.022849900000000003,26.3691,0.0846033,0.402,5020.026151914604,3973.326556110288,f160w,22.332806757615135
2298,2299,64.047863,-24.083832,1.0880100000000001,0.0244703,5.37715,0.0236035,12.097,0.021093,25.1538,0.06772639999999999,0.3943,3483.545193003755,3581.281323246321,f160w,22.29330579837972
4368,4369,64.045151,-24.071461499999998,0.604928,0.015474200000000002,3.7413800000000004,0.015436700000000001,9.77502,0.014144,26.4035,0.0481578,0.3956,3780.5701784832145,5065.761284184588,f160w,22.52470586337736
6254,6255,64.02725,-24.059111399999995,1.07889,0.0232632,5.29974,0.020793799999999998,11.9669,0.0189168,24.8678,0.06427419999999999,0.3894,5741.987955749234,6547.761017723407,f160w,22.305045845215925
6510,6511,64.02515600000001,-24.0563699,0.823428,0.0205678,4.66426,0.0187755,11.1599,0.017174400000000003,25.3534,0.0912638,0.3991,5971.466043847681,6876.723287753803,f160w,22.380849242358728
4229,4230,64.0182071,-24.0727186,1.14491,0.0216728,4.11189,0.0197101,9.225439999999999,0.0181722,25.4645,0.0901975,0.4059,6732.644738898485,4914.79570579305,f160w,22.587532278365337
3727,3728,64.0344071,-24.0753668,0.644931,0.024759299999999998,2.85245,0.021659099999999997,5.87786,0.0194285,10.3538,0.0672311,0.3922,4957.711222121606,4597.14787319038,f160w,23.0769519056243
2287,2288,64.0303062,-24.0831997,0.320934,0.017630299999999998,2.08373,0.0165858,5.2114,0.0149666,12.9133,0.0433889,0.3841,5406.965222432719,3657.184740745378,f160w,23.207613978412134
4065,4066,64.03756539999999,-24.0727719,1.07142,0.041007800000000004,5.160480000000001,0.037612400000000004,11.452,0.0341158,22.86,0.0864048,0.4059,4611.683149194646,4908.538576127422,f160w,22.352796651626097
