,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
91,macs0416_610,0.4757,64.04185882,-24.09536943,49.35926011,f814w_w_f814w,1,3.0523,3.2257,-0.1734,26.12963476,-1.42683038,-1.408610613,0.961569821,3.355010249,1.253227494,-1.406926293,0,0,0,0.007294739,0.004819033,-0.007519124,0.00133013,0.079403973,0.09433622,0.016864387,0.057719092,0.032639182,0.057658991,0,0,0,0.006141349,0.003991836,0.003308716,0.00441068,0.376650969,-0.000112193,0.003074582,0.24881762,-1.842772815,-17.11779645,-5.633094119,22.31187592,-0.001001429,0.00051768,0,0,0.000286349,0.000310307,0.163271359,-1.968529357,8.29392067,0.014926056,0.006563485,-0.003739753,0.102486056,0.497535203,0.218782831,0.102554266,0.003076628,0.543513759,51,4141.373653,2196.825938,124.2412096,65.90477813,0
92,macs0416_614,0.6061,64.04938448,-24.09533197,29.50255154,f606w_w_f814w,1,1.5655,1.801,-0.2355,25.49812656,-2.184352839,-1.954424354,0.912674562,2.492097021,1.52353813,0.331005042,0,0,0,0.002164494,0.000241576,0.00091769,0.008081638,0.043906765,0.035144586,0.008523304,0.021732959,0.020738268,0.016172846,0,0,0,0.002846144,0.00234423,0.002628531,0.004404566,0.491244427,0.001541092,0.004161607,0.208604258,-15.53376724,-2.200970721,-11.86151278,-4.011249326,-0.005043462,-0.001383306,0,0,0.000275989,0.000318417,0.288240849,-1.914357695,6.953475279,-0.000294288,-0.003678455,0.051369748,0.13872024,-0.009809611,-0.122615162,0.147926184,0.004437786,0.123006936,45,3316.982051,2201.271223,99.50946154,66.0381367,0
95,macs0416_631,1.6926,64.03856696,-24.09493814,29.90663798,f606w_w_f814w,1,0.9761,0.4629,0.5132,27.40477156,-1.423765909,-1.949596373,3.207550578,0.046061763,1.705378888,1.19410284,0,0,0,-0.029332597,0.004765871,-0.010011335,0.041725294,0.038218808,0.063751983,0.037113918,0.002342917,0.051827363,0.028503031,0,0,0,0.005027419,0.002732118,0.00414551,0.005371205,0.674232544,-0.019671966,0.023245583,0.265553831,-53.90417014,-62.02237651,51.39883509,-94.11023991,-0.006395532,-0.01330436,1,0,0.000425624,0.000290343,-0.781849461,-1.384537995,8.851794368,0.000350703,-0.01371384,-0.655732202,0.774852761,0.011690111,-0.457127995,1.015077101,0.030452313,0.457277446,69,4501.9775,2248.589266,135.059325,67.45767797,0
98,macs0416_640,0.8067,64.05117399,-24.0950678,21.39121689,f814w_w_f814w,1,3.331,3.4212,-0.0902,25.4972577,-1.356627124,-1.413787539,1.019876171,2.81146504,1.728907872,1.135904109,0,0,0,-0.012997128,0.004821884,-0.008687706,0.043201762,0.178842362,0.23177648,0.067020938,0.136798574,0.159514341,0.085382504,0,0,0,0.024134865,0.011221355,0.011857514,0.018657665,0.454914941,-0.010842417,0.024011823,0.169594045,-19.61293418,-4.955654152,-14.4329183,-29.57863426,-0.051784544,-0.022721275,0,0,0.000313457,0.000319577,0.040657178,-1.994379946,5.65313483,0.006532994,-0.014368055,-0.361413896,0.8003941,0.217766475,-0.47893517,0.878208813,0.026346264,0.526118936,51,3120.948381,2232.953196,93.62845144,66.98859588,0
99,macs0416_645,0.8067,64.05109727,-24.0950304,29.8669788,f814w_w_f814w,1,1.1817,1.3961,-0.2144,25.4972577,-1.499661853,-1.657656608,1.109267167,2.288958316,1.265743337,0.43501509,0,0,0,-0.006150116,0.011500043,-0.01755685,-0.00113082,0.10466013,0.089354303,0.026594797,0.063785958,0.052885314,0.080126271,0,0,0,0.012516258,0.00737349,0.005861871,0.008300628,0.516681743,-0.011853483,0.005184611,0.210875217,35.60583357,64.82989922,-33.62727619,-35.87672736,-0.000480079,0.002091771,0,0,0.000274242,0.000316235,0.287645636,-1.913761801,7.029173915,0.023260217,0.017815474,-0.395116098,0.172820375,0.77534057,0.593849126,0.431258174,0.012937745,0.976631857,51,3129.352613,2237.442518,93.88057839,67.12327554,0
100,macs0416_649,0.4294,64.04298981,-24.09498195,33.65045195,f814w_w_f814w,1,2.2842,2.4454,-0.1612,26.3841387,-1.431385427,-1.595984973,1.139022666,2.639163224,1.108985885,1.290192254,0,0,0,-4.23E-05,0.002143279,-0.00926722,-0.011678887,0.102132639,0.112280553,0.026544347,0.074973297,0.044058313,0.193129425,0,0,0,0.008201111,0.006061867,0.005368744,0.007668709,0.404957387,-0.004654752,-0.004767804,0.232624041,37.03667591,16.78159018,-12.8097699,5.597504699,0.002932965,0.004668671,0,0,0.000249963,0.000306684,0.414161798,-1.82376925,7.754134699,0.013879688,0.009054362,-0.155158408,-0.15892681,0.462656258,0.301812069,0.222107772,0.006663233,0.552395997,49,4017.478232,2243.318829,120.524347,67.29956487,0
103,macs0416_664,0.424,64.04252429,-24.09424307,73.65517507,f606w_w_f814w,1,2.2313,2.4722,-0.2409,23.93847777,-1.894730853,-1.983023997,0.80476351,5.856380053,1.540460524,-0.933536004,0,0,0,0.001138307,0.001045688,0.003562975,-0.000325888,0.028487984,0.030949478,0.003256828,0.019667181,0.007864096,0.005901352,0,0,0,0.000485232,0.000640936,0.000639717,0.000471747,0.534647864,0.002350641,0.0003599,0.39680343,-37.59008707,-19.31096246,34.41236315,3.253202902,-0.000193504,0.000222224,0,0,0.00029395,0.000312814,0.127384157,-1.977941427,13.22678099,-0.004775308,0.001731477,0.078354699,0.011996666,-0.159176938,0.057715892,0.079267767,0.002378033,0.169317518,83,4068.470563,2331.986142,122.0541169,69.95958425,0
104,macs0416_665,1.9675,64.03661502,-24.09484774,25.17221773,f814w_w_f814w,1,0.87,0.2959,0.5741,26.18785479,-1.496800493,-1.920748146,0.633649773,3.521803813,1.98813016,0.528335483,0,0,0,0.010204086,0.029809008,-0.008089632,0.008567213,0.256955382,0.180970117,0.034968296,0.118815311,0.128610463,0.04150007,0,0,0,0.01533703,0.008444662,0.007532474,0.014505086,0.415623783,0.001057227,0.019188111,0.182601993,34.03926428,27.7639643,23.27215991,9.807072343,0.009510114,-0.002955882,1,0,0.000264188,0.000308794,0.314879076,-1.897625929,6.086733114,0.017236491,0.040429906,0.035240899,0.639603696,0.574549702,1.347663528,0.640573813,0.019217214,1.46502708,55,4715.801156,2259.437921,141.4740347,67.78313762,0
105,macs0416_666,0.5526,64.04713435,-24.09477184,33.72293864,f814w_w_f814w,1,1.4465,1.4589,-0.0124,25.81526923,-0.588179676,-2.093794897,0.692373834,4.775188162,1.580006552,0.343198088,0,0,0,-0.017993179,0.003296266,0.004163808,-0.014690281,0.139105803,0.150375889,0.020416429,0.099655907,0.054803271,0.035830277,0,0,0,0.003918612,0.003145247,0.00451084,0.007948522,0.466992089,-0.006914686,-0.005697008,0.262737739,-39.92530036,-46.43382762,31.64314107,-29.11931169,-0.001679947,-0.004787749,0,0,0.000360619,0.000409748,0.304008897,-1.820172025,8.757924636,-0.015242302,0.012289539,-0.230489518,-0.189900263,-0.50807672,0.409651305,0.29864281,0.008959284,0.652653158,58,3563.465714,2268.506821,106.9039714,68.05520464,0
107,macs0416_673,0.5236,64.05934549,-24.09458484,28.49748174,f814w_w_f814w,1,1.4037,1.6803,-0.2766,26.16158429,-1.895906408,-1.82896989,0.895928175,2.604948561,3.768231437,0.499215459,0,0,0,0.00490547,0.009817277,-0.009000327,0.02209502,0.180738873,0.109937297,0.020783854,0.05084183,0.120438986,0.008881743,0,0,0,0.002350142,0.001450762,0.001057612,0.003771318,0.375553639,-0.002047429,0.015956149,0.401259349,-0.295072742,220.9829758,274.5171957,332.1832891,-0.003018704,0.011988639,1,0,0.000337082,0.000321053,-0.096430609,-1.988593373,13.37531163,0.015953226,0.003678406,-0.068247624,0.531871621,0.531774191,0.122613539,0.536232375,0.016086971,0.545726919,69,2225.797887,2290.791874,66.77393662,68.72375621,0
